"","AU","TI","Screen1_Assessed","Screen1_MissingDetails","Screen1_GoldStar","Screen1_Reject","Screen1_RejectNOTEntreP","Screen1_VaguelyRelevent","Screen1_Women","Screen1_EntreP","Screen1_EAfrica","Screen1_Example","Screen1_Notes"
"909","Stearns E;Bottia Mc;Davalos E;Mickelson Ra;Moller S;Valentino L","Demographic characteristics of high school math and science teachers and girls' success in stem",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"910","Steedman R;Alacovska A;Langevang T;Resario;Rashida R","Imaginaries of platform entrepreneurship in the creative industries: techno-optimism and subversion in ghanaian filmmaking",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"911","Steel G","Going global - going digital. Diaspora networks and female online entrepreneurship in khartoum, sudan",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"912","Steel G","Navigating (im)mobility: female entrepreneurship and social media in khartoum",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"913","Stell G","Shifting prestige norms in post-colonial contexts: interpreting phonetic trends in namibia's lingua francas",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"914","Sterling Sr;O'brien J;Bennett Jk","Advancement through interactive radio",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"915","Steyn S;Roos V;Botha K","Cell phone usage relational regulation strategies of older south africans",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"916","Struwig M","Personal financial knowledge and practices of smme owner/managers",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"917","Suarez E;Beatty Cc","Advising in science education: critiquing where we have been, moving toward an equitable and holistic advising approach",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"918","Sujarwoto S;Tampubolon G","Spatial inequality and the internet divide in indonesia 2010-2012",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"919","Suri Rk;Marini A","Title: accelerating sustainable regional vaccine manufacturing through global partnerships - 24th dcvmn annual general meeting 2023 report",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"920","Suri T;Jack W","The long-run poverty and gender impacts of mobile money",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"921","Surum J","Building responsible life sciences in africa: observations from an early-career female scientist",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"922","Svensson J;Larsson Cw","Situated empowerment: mobile phones practices among market women in kampala",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"923","Swartz Em;Scheepers Cb;Toefy T","Women entrepreneurs' opportunity identification of digital platform start-ups: emerging evidence from south africa",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,""
"924","Syano Nm;Nyangito Mm;Wasonga Ov;Kironchi G","Agroforestry practices and factors influencing their adoption by communities in the drylands of eastern kenya",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"925","Tabe-Ojong Jr Mp;Salama Y;Abay Ka;Abdelaziz F;Zaccari C;Akramkhanov A;Menza;Gianpiero G;Anarbekov O","Harnessing digital innovations for climate action and market access: opportunities and constraints in the cwana region",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"926","Tadesse T;Asmamaw A;Getachew K;Ferede;Bekalu B;Melese W;Siebeck M;Fischer Mr","Self-regulated learning strategies as predictors of perceived learning gains among undergraduate students in ethiopian universities",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"927","Tager M","The black and the beautiful: perceptions of (a) new <i>generation</i>(s)",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"928","Tagliaferri S;Esposito Fg;Ippolito;Adelaide A;Mereghini F;Magenes G;Martinelli;Pasquale P;Campanile M;Signorini Mg","Telemedicine to improve access to specialist care in fetal heart rate monitoring: analysis of 17 years of tocomat network clinical activity",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"929","Takuwa M;Mbabazi Se;Tusabe M;Mulindwa B;Makobore Pn;Mulerwa M;Kansiime Ec;Birungi Dm;Reboud J;Cooper Jm;Ssekitoleko Rt","Mobile health access and utilisation in uganda: knowledge, attitudes and perceptions of health and veterinary workers",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
"930","Tambe Taf;Miguel Llaj","Assessing emerging trends of expansion and women enrolments in the higher education system in mozambique",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,""
